timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1618804422343,2707,eProtect/paypage,200,OK,Test-ReggisterUser 1-1,text,true,,470,1266,1,1,https://request.eprotect.vantivprelive.com/eProtect/paypage?paypageId=nSA8FpvsnUNw3Hn7&reportGroup=ACBGrp1&id=5hi8k4hkhn49grsup0nhzoram&orderId=nib36psjfzseykrk0c&encryptedAccount=g7yIY7uRe1rXueHPny%2BSKO0Psy2WmsvfKGdoIHBfbbyXZTiztGWNup%2BxzogDoPlRf%2Fnp7Ggs1IKedMWHOnhcJteUZfTBTsAXOQAw1oiNeMFq9xuHr1FbIOQpO59%2BEwoC77yfY8p%2FT1BCmGaVzow4UEqZ7Ee5kse6X9x5nCT3KNkSKjRm%2FNM%2FyeyuqNx0qE%2BlCSj6MRS1LcSYzKHntBBGgTO1XPvuEYT87Ro17Eu9qg4kCg5dxq3SCWKIuXxcwuvlw8RYljf4y8nbCofpyTw10eSHL%2F2ymdzPbkJXmKzq8nvbthMwleJd%2F3QWCFd5HlDidW%2BL2SXKu88tMG4r0bl7bQ%3D%3D&pciNonSensitive=false&encryptedCvv=jM4mM59diM2QVBXjvKtYGPcOm5mye6EpiUfDGReXrpiiHTwhRbUqosBFDSzKYBumaWaNHKuJKRHFFNvuGMG1xz4R%2BgTT%2Bp8jin6T%2B5dQBSP11RvFde369VQfp1OsoAerfYAlA0XwtONSDstwFm5PDPjmJ3QwWdlDdSUn%2BqEcwvsAp0FVAFeE7xVeqGaJZdIP8gH4haXmb%2Biegvdi4uEHFj0wv8vvma7fv%2BhlZNyKQshmC4mkXPA5hr9ez0FIoIxgEqwckat0wrS211x7NsmZGgilTFBgm312e3KJP9zynba0uF31GWhKwjF1AxZSgo%2BtFSsiUFsAUxS%2Fri2R292vHQ%3D%3D&publicKeyId=1&requestType=eProtect&targetServer=primary&jsoncallback=jsonp1617948948696,2704,0,1284
1618804425827,649,JSR223 Sampler-FunctionUtils,200,OK,Test-ReggisterUser 1-1,text,true,,0,0,1,1,null,0,0,0
1618804426477,33,TEST-01-BUSINESS-DEBUG,200,OK,Test-ReggisterUser 1-1,text,true,,0,0,1,1,null,0,0,0
1618804426511,185,PROF-T001-EXC-Random main action,200,OK,Test-ReggisterUser 1-1,text,true,,0,0,1,1,null,0,0,0
1618804426700,1283,AF-010-GET-Welcome,200,OK,Test-ReggisterUser 1-1,text,true,,1759,763,1,1,https://csc-qa-customer-ui.business.creditstrong.com/Welcome,1280,0,365
1618804428146,821,AF-020-OPTIONS-maintenance/configuration,200,OK,Test-ReggisterUser 1-1,text,true,,1774,695,1,1,https://csc-qa-customer-ui.business.creditstrong.com/origination/public/maintenance/configuration,821,0,0
1618804428968,843,AF-020-GET-maintenance/configuration,200,OK,Test-ReggisterUser 1-1,text,true,,1754,864,1,1,https://csc-qa-customer-ui.business.creditstrong.com/origination/public/maintenance/configuration,843,0,0
1618804429814,1179,AF-030-OPTIONS-commercial/lead,200,OK,Test-ReggisterUser 1-1,,true,,640,745,1,1,https://csc-qa-gateway.business.creditstrong.com/origination/public/commercial/lead,1179,0,913
1618804430994,299,AF-030-POST-commercial/lead,200,OK,Test-ReggisterUser 1-1,text,true,,753,1211,1,1,https://csc-qa-gateway.business.creditstrong.com/origination/public/commercial/lead,298,0,0
1618804431354,266,ST01-010-OPTIONS-maintenance/configuration,200,OK,Test-ReggisterUser 1-1,,true,,653,766,1,1,https://csc-qa-gateway.business.creditstrong.com/origination/public/maintenance/configuration,266,0,0
