timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1621846137443,1930,AF-020-GET-maintenance/configuration,200,OK,jp@gc - Stepping - Test-ReggisterUser 1-3,text,true,,1121,835,9,9,https://csc-dev-customer-ui.business.creditstrong.com/origination/public/maintenance/configuration,1929,0,0
1621846137702,1671,AF-020-GET-maintenance/configuration,200,OK,jp@gc - Stepping - Test-ReggisterUser 1-5,text,true,,1121,835,9,9,https://csc-dev-customer-ui.business.creditstrong.com/origination/public/maintenance/configuration,1670,0,0
1621846137442,1943,AF-020-GET-maintenance/configuration,200,OK,jp@gc - Stepping - Test-ReggisterUser 1-2,text,true,,1121,835,9,9,https://csc-dev-customer-ui.business.creditstrong.com/origination/public/maintenance/configuration,1943,0,0
1621846138019,1366,AF-020-GET-maintenance/configuration,200,OK,jp@gc - Stepping - Test-ReggisterUser 1-6,text,true,,1123,835,9,9,https://csc-dev-customer-ui.business.creditstrong.com/origination/public/maintenance/configuration,1366,0,0
1621846139357,520,eProtect/paypage_01,200,OK,jp@gc - Stepping - Test-ReggisterUser 1-9,text,true,,470,1142,9,9,https://request.eprotect.vantivprelive.com/eProtect/paypage?paypageId=nSA8FpvsnUNw3Hn7&reportGroup=ACBGrp1&id=agvup4p04h4414vo1lwv4lmys&orderId=dl8wts3qmdjtrwsg68&encryptedAccount=NYtwSFihCeIFZ6jCcTgUX7ZUqDq5UaoS%2BDF0myCmeyMG%2BRbE6DD%2F5DW%2B82eHAhARSvYx2e0%2FnJ0Jo2YEHZWQkmCnGixzX7OsgScojnH1RSgxx%2F9tFX3wTaH8YNNJyrkVEMCW0Rdvdn0BLMEePeUHsmno5kNQUX1WHxF6eEUTW7G06NJbRbXHMYS8MUcQoXKvGdGD9jXhhc2hsPrRWzGNkJzXnNtoKK4StJJtHe5XYB7BQX3t4Go28GZ07k7dCJKEx%2FzNL0AaXZXzdnp348Bxz72cmp06MB7m%2FBXd3uB1m5DZySV2BY7rlByD2EN24Vep%2Ba06VTnEkF8FReasWE8tmA%3D%3D&pciNonSensitive=false&encryptedCvv=T3FlVwK4KeS7TRhA%2F9d5jCO8FPZljHOt5HCy1x2RrVSWo0UQPtrwjDNK%2F%2BC9jy7J4F1y%2BtnUEViP3wGCubLp7OoZkCspf1KyV6H54LNwdCVFk4ZSiYw5doT6FWBJ9fGi%2FNOvj%2F77bzGW8FP2s5gUddgOqWVzqJlrD5gkJyQNKsJ%2Fe%2B%2Fgv4EcUKJo0gw%2BdC0C89umdOtku3fhALkda9zE%2B5lvU8oCzxqlv4nbKD1kt6u26AQFanNeTlWTaGq4XG1ICSey0skMABlgd2xfO7%2BM52hLg3U1RYY9r%2BCSK4gDZq0TlNCNKQDgQSWQmBYkzmqKE%2FO7Qdb0dcJcoiVTooseLQ%3D%3D&publicKeyId=1&requestType=eProtect&targetServer=primary&jsoncallback=jsonp1619084363102,520,0,132
1621846139886,1,JSR223 Sampler-FunctionUtils,200,OK,jp@gc - Stepping - Test-ReggisterUser 1-9,text,true,,0,0,9,9,null,0,0,0
1621846139887,0,TEST-01-BUSINESS-LOGIN-FLOW,200,OK,jp@gc - Stepping - Test-ReggisterUser 1-9,text,true,,0,0,9,9,null,0,0,0
1621846139888,0,PROF-T001-EXC-Random main action,200,OK,jp@gc - Stepping - Test-ReggisterUser 1-9,text,true,,0,0,9,9,null,0,0,0
1621846139072,891,AF-020-GET-maintenance/configuration,200,OK,jp@gc - Stepping - Test-ReggisterUser 1-7,text,true,,1123,835,9,9,https://csc-dev-customer-ui.business.creditstrong.com/origination/public/maintenance/configuration,891,0,0
1621846139268,822,AF-020-OPTIONS-maintenance/configuration,200,OK,jp@gc - Stepping - Test-ReggisterUser 1-8,text,true,,1131,665,9,9,https://csc-dev-customer-ui.business.creditstrong.com/origination/public/maintenance/configuration,822,0,0
